"Column1","Column 2","Telugu","English","Sentences made","",""
"Naku iravai aidu years old","నాకు ఇరవై ఐదు years old","naku","years","17","",""
"Where is the alaram gadiyaram","Where is the అలారం గడియారం","iravai ","old","","",""
"What a andamaina pradesarn","What a అందమైన ప్రదేశం","aidu","where","","",""
"I got this sutkes from the that angadi","I got this సూట్కేస్ from that అంగడి","gadiyaram","is","","",""
"You have a pedda karu","You have a పెద్ద కారు","alaram","the","","",""
"kotha PDF upload cheyandi","కొత్త pdf అప్‌లోడ్ చేయండి","sutkes","i","","",""
"Did you see neti vartalu","Did you see నేటి వార్తలు","angadi","got","","",""
"When is ni puttina roju","When is నీ పుట్టిన రోజు","andamaina","this","","",""
"I like adataniki basketball","I like ఆడటానికి basketball","pradersan","from","","",""
"Eroju it may rain","ఈరోజు it may rain","pedda","that","","",""
"Look at that pilli","Look at ఆ పిల్లి","karu","what","","",""
"A adavi is huge","ఆ అడవి is huge","kotha","a","","",""
"Fifa world cup thvaralo prarambham avuthundi","Fifa world cup త్వరలో ప్రారంభమవుతుంది","cheyandi","you","","",""
"Where are you chaduvkuntunavu","Where are you చదువుకుంటున్నావు","neti","have ","","",""
"umran malik masth speed bowling esthundu","umran malik మస్త్ speed bowling ఎస్తుండు","vartalu","a","","",""
"eroju nenu lunch ki Chicken Biryani chesanu","ఈరోజు నేను చేసాను Chicken Biryani మధ్యాన్న భోజనం కొరకు","ni","pdf","","",""
"dhoni last over lo pakkaga six kodthadu","dhoni last over లో పక్కగా six కొడతాడు","puttina","upload","","",""
"eroju nenu ma family tho outside velaanu","ఈరోజు నేను మా family తో outside వేళాను","roju","did","","",""
"naku Football adadamante ishtam","నాకు Football ఆడడమంటే ఇష్టం","adataniki","you","","",""
"miru Railway Station ki eppudu bayaluderutunnaru","మీరు Railway Station కి ఎప్పుడు బయలుదేరుతున్నారు","eroju","see","","",""
"throwback to mana darjeeling trip chivari year","throwback to మన darjeeling trip చివరి year","pilli","when","","",""
"cinema theater nindipoyindi, Pushpa chudataniki andaru asaktiga unnaru","Cinema Theater నిండిపోయింది, Pushpa చూసేందుకు అందరూ ఆసక్తిగా ఉన్నారు","adavi","is","","",""
"netflix lo kotha series release ayyindhi anta kadha","netflix లో కొత్త series release అయ్యింది అంతా కదా","tvaralo","i","","",""
"restaurant lo lunch bagundi!","Restaurant లో lunch బాగుంది!","pramambhamavutundi","like","","",""
"eggs aipoinavi,only moodu unde kept them for boiling","eggs అయిపోయినవి,only మూడూ unde kept them for boiling","chaduvkuntunavu","basketball","","",""
"ee Semester miku yenni Subjects unnayi? ","ఈ Semester మీకు ఎన్ని Subjects ఉన్నాయి?","masth","it","","",""
"stove meedha pettala cooker ?","stove మీధ పెట్టాల cooker ?","esthundu","may","","",""
"Hitech City daggara chaala Traffic undi!","Hitech City దగ్గర చాలా Traffic ఉంది!","eroju","rain","","",""
"lunch ready ayyindhi,andharu come down","lunch ready అయ్యింది,అందరు come down","nenu","look","","",""
"miru Shah Ghouse nundi Mutton Biryani tappakunda prayatnincalli!"," మీరు Shah Ghouse  నుండి Mutton Biryani తప్పకుండా ప్రయత్నించాలి!","chesanu","at","","",""
"registration ki eeroju last and payment ki repu last day","registration కి ఈరోజు last and payment కి రెపు day","ki","that","","",""
"bro webinar join aynava eeroju","bro webinar join అయినవా ఈరోజు  ","lo","is","","",""
"Miyapur nundi Tolichowki enta duramlo undi ?  ","Miyapur నుండి Tolichowki ఎంత దూరంలో ఉంది ?","pakkaga","huge","","",""
"miru yeppudu America ki marataru ","మీరు ఎప్పుడు America కి మారతారు","kodthadu","fifa","","",""
"lunch ki emmaina plans unnaya","lunch కి ఏమైన plans ఉన్నాయ","eroju","world","","",""
"Ye Phone ekkuva rojulu manugadalo untundani miru anukuntunnaru","ఏ Phone ఎక్కువ రోజులు మనుగడలో ఉంటుందని మీరు అనుకుంటున్నారు","nenu","cup","","",""
"nenu sick unnanduna nenu eroju class hajarukanu","నేను Sick  ఉన్నందున నేను ఈరోజు Class హాజరుకాను","ma","where ","","",""
"college fees last date emmaina thelusa","college fees last date ఎమైనా తెలుసు","tho","are","","",""
"lab lo oka 3 or 4 marks theesadu total 57 esindu","lab లో ఒక 3 or 4 marks తీశాడు total 57 ఏసిండు","velaanu","you","","",""
"miru India vs South Africa cricket match chustunnara","మీరు India vs South Africa cricket match చూస్తున్నారా","naku","speed","","",""
"call chesthe network area lo ledhu anni coming","call చేస్తే network area లో లేడు అన్నీ coming ","adamante","bowling","","",""
"miku istamaina Chocolate emiti","మీకు ఇష్టమైన Chocolate ఏమిటి","ishtam","lunch","","",""
"ippudu parallely placements and development ki chadukovali","ఇప్పుడు parallely placements and development కి చదవాలి","miru","chicken","","",""
"miru ML Final pariksha kosam chadivara","మీరు ML Final పరీక్ష కోసం చదివారా","ki","biriyani","","",""
"repu nenu Katpadi nundi Hyderabad railulo prayanistunnanu "," రేపు నేను Katpadi నుండి Hyderabad రైలులో ప్రయాణిస్తున్నాను","eppudu","last","","",""
" mi wallet lo enta dabbu undi","మీ Wallet లో ఎంత డబ్బు ఉంది?","bayaluderutunnaru","over","","",""
"outside of india ki yepudaina velinava","outside of india కి యెపుడైనా వెలినావా","manu","six","","",""
"neeku istamaina actor yevaru tollywood lo","నీకు ఇష్టమైన actor ఎవరు tollywood లో","chivari","outside","","",""
"nenu S grade kevalam oku markuto kolpoyanu","నేను S grade కేవలం ఒక మార్కుతో కోల్పోయాను","nindipoyindi","football","","",""
"miru Cryptocurrency gurinchi vinnara","మీరు Cryptocurrency గురించి విన్నారా","chudataniki","railway","","",""
"nenu itivala Vikram ane Popular cinema chusanu"," నేను ఇటీవల Vikram అనే Popular Cinema చూశాను.","andaru","station","","",""
"Turn on dipamulu","Turn on దీపములు","asaktiga","throwback","","",""
"BBC vartalanu vinandi","BBC వార్తలను వినండి","unnaru","to","","",""
"Facebook teravandi","Facebook తెరవండి","lo","trip","","",""
"eroju weather ela undhi","ఈరోజు weather ఎలా ఉంది?","kotha","this","","",""
"integration of x dx entha","integration of x dx ఎంత","ayyindhi","year","","",""
"ninnu evaru create chesaru","నిన్ను ఎవరు create చేసారు","anta","cinema","","",""
"play kotha telugu patalu in youtube","play కొత్త telugu పాటలు in youtube","kadha","theater","","",""
"japan lo repu special enti","japan లో రేపు special ఏమి","lo","series","","",""
"call cut cheyu","call cut చేయు","bagundi","release","","",""
"dagarlo unna coffee shop ki call cheyu","దగ్గరలో ఉన్నా coffee shop కి call చేయు","ee","restaurant","","",""
"na phone bluetooth tho connected unda ?","నా phone bluetooth తో connected ఉందా ?","miku","lunch","","",""
"camera open cheyava","camera open చెయ్యవ","unnayi","semester","","",""
"na next meeting ekkada","నా next meeting ఎక్కడా","yenni","subjects","","",""
"next eclipse eppudu","next eclipse ఎప్పుడు","aipoinavi","eggs","","",""
"prasthutham microsoft stock price entha","ప్రస్తుతం microsoft stock price ఎంత","moodu","only","","",""
"burj khalifa entha ethu untadi","burj khalifa ఎంత ఎత్తు ఉంటుంది","unde","kept","","",""
"banjara hills daggara traffic ela undi","banjara hills దగ్గర  traffic ఎలా ఉంది","meedha","them","","",""
"Today is paurṇami","Today is పౌర్ణమి","pettala","for","","",""
"Today vediga undi","Today వేడిగా ఉంది","daggara","boiling","","",""
"Mi pariksa how was it ? ","మీ పరీక్ష how was it ?","chaala","stove","","",""
"Niku telugu understand ? ","నీకు telugu understand ? ","undi","cooker","","",""
"Do you kritala istama ? ","Do you క్రీడలు ఇష్టమా ? ","andharu","traffic","","",""
"Nuvvu e skullo study ? ","నువ్వు ఏ స్కూల్లో  study ? ","tappakunda","come","","",""
"Are you vivahitula or avivahitula ? ","Are you వివాహితులా or అవివహితులా ? ","miru","down","","",""
"Miru IPL final chusara ?         ","మీరు IPL final చూసారా ?","nundu","mutton","","",""
"Your favourite rangu edi ? ","Your favourite రంగు ఏది ?","prayatnicalli","registration","","",""
"Volume garisṭanga cheyandi","Volume గరిష్టంగా చేయండి","ki","payment","","",""
"Wordle oka sulabhamaina game","Wordle ఒక సులభమైన game","eeroju","day","","",""
"I kotta kālikyulēṭar bought","I కొత్త కాలిక్యులేటర్ bought","repu","join","","",""
"meeru IOS or Android upayogistunnara","మీరు IOS or Android ఉపయోగిస్తున్నారా","nundi","class","","",""
"Boston lo ippudu samayam enta?","Boston లో ఇప్పుడు సమయం ఎంత?","enta","sick","","",""
"Naku repu evaina Meetings unnaya?","నాకు రేపు ఏవైనా Meetings ఉన్నాయా?","duramlo","college","","",""
"Hyderabad nundi Goa vegavantamaina margam edi?","Hyderabad నుండి Goa వేగవంతమైన మార్గం ఏది?","undi","fees","","",""
"Ohri's lo na dinner reservation eppudu scheduled cheyabadindi?","Ohris లో నా Dinner Reservation Scheduled చేయబడింది?","miru","date","","",""
"World lo enni Countries unnayi?","World లో ఎన్ని Countries ఉన్నాయి?","yeppadu","lab","","",""
"345 mariyu 789 yokka Product emiti?","345 మరియు 789 యొక్క Product ఏమిటి?","marataru","or","","",""
"eroju Bengaluru lo Weather cheppandi","ఈరోజుBengaluru లో Weather చెప్పండి.","emmaina","marks","","",""
"repu sayantram 4 gantalaku Varun to Meeting Schedule cheyandi.","రేపు సాయంత్రం 4 గంటలకు Varun తో Meeting Schedule చేయండి.","unnaya","total","","",""
"Flight lo India nundi Dubai enta duranlo undi?","Flight లో India నుండి Dubai ఎంత దూరంలో ఉంది?","ye","match","","",""
"India lo Ford Mustang dhara enta?","India లో Ford Mustang ధర ఎంత?","ekkuva","","","",""
"COVID-19 laksanalu cheppandi.","COVID-19 లక్షణాలు చెప్పండి.","rojulu","","","",""
"Nearest e Hospital lo, nenu COVID-19 Vaccine pondavacha?","Nearest ఏ Hospital లో, నేను COVID-19 Vaccine పొందవచ్చా?","manugadalo","","","",""
"India lo vote veyadaniki kanisa vayas'su enta?","India లో vote వేయడానికి కనీస వయస్సు ఎంత?","untundani","","","",""
"Steward ane padaniki artham emiti","Steward అనే పదానికి అర్థం ఏమిటి?","anukuntunnaru","","","",""
"45 Hours lo enni nimisalu?","45 Hours ల్లో ఎన్ని నిమిషాలు?","unnanduna","","","",""
"Bharatadesa Education Mantri evaru?","భారతదేశ Education మంత్రి ఎవరు?","hajarukanu","","","",""
"Omelette kosam quick recipe cheppandi.","Omelette కోసం quick recipe చెప్పండి.","thelusa","","","",""
"Egypt Currency emiti?","Egypt Currency ఏమిటి?","lo","","","",""
"Cryptocurrencies gurinchi cheppandi.","Cryptocurrencies గురించి చెప్పండి.","oka","","","",""
"Fit ga undataniki rojuvari exercises cheppandi.","Fit గా ఉండటానికి రోజువారీ exercises చెప్పండి.","theesadu","","","",""
