Naku iravai aidu years old,నాకు ఇరవై ఐదు years old
Where is the alaram gadiyaram,Where is the అలారం గడియారం
What a andamaina pradesarn,What a అందమైన ప్రదేశం
I got this sutkes from the that angadi,I got this సూట్కేస్ from that అంగడి
You have a pedda karu,You have a పెద్ద కారు
kotha PDF upload cheyandi,కొత్త pdf అప్‌లోడ్ చేయండి
Did you see neti vartalu,Did you see నేటి వార్తలు
When is ni puttina roju,When is నీ పుట్టిన రోజు
I like adataniki basketball,I like ఆడటానికి basketball
Eroju it may rain,ఈరోజు it may rain
Look at that pilli,Look at ఆ పిల్లి
A adavi is huge,ఆ అడవి is huge
Fifa world cup tvaralo prarambhamavutundi,Fifa world cup త్వరలో ప్రారంభమవుతుంది
Wher are you chaduvkuntunavu,Where are you చదువుకుంటున్నావు
umran malik masth speed bowling esthundu,umran malik మస్త్ speed bowling ఎస్తుండు
eroju nenu lunch ki Chicken Biryani chesanu,ఈరోజు నేను చేసాను Chicken Biryani మధ్యాన్న భోజనం కొరకు
dhoni last over lo pakkaga six kodthadu,dhoni last over లో పక్కగా six కొడతాడు
eroju nenu ma family tho outside velaanu,ఈరోజు నేను మా family తో outside వేళాను
naku Football adadamante ishtam,నాకు Football ఆడడమంటే ఇష్టం
miru Railway Station ki eppudu bayaluderutunnaru,మీరు Railway Station కి ఎప్పుడు బయలుదేరుతున్నారు
throwback to mana darjeeling trip chivari year,throwback to మన darjeeling trip చివరి year
"cinema theater nindipoyindi, Pushpa chudataniki andaru asaktiga unnaru","Cinema Theater నిండిపోయింది, Pushpa చూసేందుకు అందరూ ఆసక్తిగా ఉన్నారు"
netflix lo kotha series release ayyindhi anta kadha,netflix లో కొత్త series release అయ్యింది అంతా కదా
restaurant lo lunch bagundi!,Restaurant లో lunch బాగుంది!
"eggs aipoinavi,only moodu unde kept them for boiling","eggs అయిపోయినవి,only మూడూ unde kept them for boiling"
ee Semester miku yenni Subjects unnayi? ,ఈ Semester మీకు ఎన్ని Subjects ఉన్నాయి?
stove meedha pettala cooker ?,stove మీధ పెట్టాల cooker ?
Hitech City daggara chaala Traffic undi!,Hitech City దగ్గర చాలా Traffic ఉంది!
"lunch ready ayyindhi,andharu come down","lunch ready అయ్యింది,అందరు come down"
miru Shah Ghouse nundi Mutton Biryani tappakunda prayatnincalli!, మీరు Shah Ghouse  నుండి Mutton Biryani తప్పకుండా ప్రయత్నించాలి!
registration ki eeroju last and payment ki repu last day,registration కి ఈరోజు last and payment కి రెపు day
bro webinar join aynava eeroju,bro webinar join అయినవా ఈరోజు  ?
Miyapur nundi Tolichowki enta duramlo undi?  ,Miyapur నుండి Tolichowki ఎంత దూరంలో ఉంది?
miru yeppudu America ki marataru ,మీరు ఎప్పుడు America కి మారతారు?
lunch ki emmaina plans unnaya,lunch కి ఏమైన plans ఉన్నాయ
Ye Phone ekkuva rojulu manugadalo untundani miru anukuntunnaru?,ఏ Phone ఎక్కువ రోజులు మనుగడలో ఉంటుందని మీరు అనుకుంటున్నారు?
"nenu sick unnanduna, nenu eroju class hajarukanu",నేను Sick  ఉన్నందున నేను ఈ రోజు Class హాజరుకాను.
college fees last date emmaina thelusa,college fees last date ఎమైనా తెలుసు
"lab lo oka 3 or 4 marks theesadu,total 57 esindu","lab లో ఒక 3 or 4 marks తీశాడు,total 57 ఏసిండు"
miru India vs South Africa cricket match chustunnara?,మీరు India vs South Africa cricket match చూస్తున్నారా?
call chesthe network area lo ledhu anni coming,call చేస్తే network area లో లేడు అన్నీ coming 
miku istamaina Chocolate emiti?,మీకు ఇష్టమైన Chocolate ఏమిటి?
ippudu parallely placements and development ki chadukovali,ఇప్పుడు parallely placements and development కి చదవాలి
miru ML Final pariksha kosam chadivara?,మీరు ML Final పరీక్ష కోసం చదివారా?
repu nenu Katpadi nundi Hyderabad railulo prayanistunnanu , రేపు నేను Katpadi నుండి Hyderabad రైలులో ప్రయాణిస్తున్నాను.
 mi wallet lo enta dabbu undi?,మీ Wallet లో ఎంత డబ్బు ఉంది?
outside of india ki yepudaina velinava,outside of india కి యెపుడైనా వెలినావా
neeku istamaina actor yevaru tollywood lo,నీకు ఇష్టమైన actor ఎవరు tollywood లో
nenu S grade kevalam oku markuto kolpoyanu!,నేను S grade కేవలం ఒక మార్కుతో కోల్పోయాను!
miru Cryptocurrency gurinci vinnara? ,మీరు Cryptocurrency గురించి విన్నారా?
nenu itivala Vikram ane Popular cinema cusanu, నేను ఇటీవల Vikram అనే Popular Cinema చూశాను.
Turn on dipamulu,Turn on దీపములు
BBC vartalanu vinandi,BBC వార్తలను వినండి
Facebook teravandi,Facebook తెరవండి
eroju weather ela undi,ఈరోజు weather ఎలా ఉంది?
integration of x dx entha,integration of x dx ఎంత
ninnu evaru create chesaru,నిన్ను ఎవరు create చేసారు
play kotha telugu patalu in youtube,play కొత్త telugu పాటలు in youtube
japan lo repu special enti,japan లో రేపు special ఏమి
call cut cheyu,call cut చేయు
dagarlo unna coffee shop ki call cheyu,దగ్గరలో ఉన్నా coffee shop కి call చేయు
